Waste Item,Category,Disposal Method,Reason,Safety Guidance,Sustainability Impact
Food waste,Organic waste,Compost bin or community composting,Food scraps can decompose into nutrient-rich compost,Keep meat or dairy separate if local rules require it; never place food waste in plastic bags,Composting returns nutrients to soil and reduces landfill methane
Banana peels,Organic waste,Compost bin or home compost, Banana peels are biodegradable organic matter,Remove stickers and compost the peel; do not litter even though it is biodegradable,Composting avoids landfill disposal and creates soil amendment
Vegetable waste,Organic waste,Compost bin or community compost,Vegetable scraps break down naturally in a composting system,Drain excess liquid and remove produce stickers,Composting reduces landfill volume and supports soil health
Fruit scraps,Organic waste,Compost bin, Fruit scraps are biodegradable and suitable for most compost systems,Remove non-compostable packaging and check local accepted materials,Composting helps close the organic nutrient cycle
Coffee grounds,Organic waste,Compost bin or garden compost,Coffee grounds are organic and add carbon and nitrogen to compost,Let grounds cool and mix with other compost materials,Composting diverts organic waste and can improve soil structure
Tea leaves,Organic waste,Compost bin,Tea leaves can decompose with other plant-based material,Remove staples and plastic tea bags before composting,Composting keeps useful organic matter out of landfill
Paper,Recyclable paper,Paper recycling bin,Clean paper fibers can be recovered into new paper products,Keep paper dry and remove plastic film or food residue,Recycling saves trees water and energy compared with new paper
Newspaper,Recyclable paper,Paper recycling bin,Newspaper is made from recyclable paper fibers,Keep it clean and dry; do not burn it,Recycling extends fiber life and reduces demand for virgin pulp
Cardboard,Recyclable paper,Flattened cardboard recycling bin,Cardboard fibers are widely recyclable when clean and dry,Flatten boxes and remove tape or food contamination where possible,Recycling cardboard reduces landfill volume and raw material use
Pizza box,Paper or organic waste,Recycle clean sections and compost food-soiled sections,Cardboard can be recycled but grease and food residue affect paper quality,Separate heavily greasy parts and follow local guidance,Sorting prevents contamination in paper recycling streams
Paper cup,Composite packaging,Check local cup recycling or general waste guidance,Many paper cups have a plastic lining that standard paper recycling cannot process,Empty the cup and do not place it in paper recycling unless accepted locally,Specialized recovery can reduce composite packaging waste
Paper towel,Organic waste or general waste,Compost if accepted or use general waste,Used paper towels are often too contaminated for paper recycling,Do not compost towels with chemicals or cleaning products,Composting suitable towels reduces landfill waste
Plastic bottles,Recyclable plastic,Empty and rinse into a plastic recycling bin,Many beverage bottles are recyclable when separated from contents,Empty and flatten when local guidance allows; keep caps according to local rules,Recycling recovers plastic and reduces demand for new material
Plastic containers,Recyclable plastic,Rinse and place in accepted plastic recycling,Some rigid containers can be remade into new plastic products,Remove food residue and check the resin or local acceptance rules,Recycling reduces plastic pollution and virgin plastic production
Plastic bags,Soft plastic,Return to a soft-plastic collection point or use general waste,Thin film can jam sorting machinery and is not accepted in many curbside programs,Keep bags out of household recycling unless a dedicated program accepts them,Soft-plastic recovery reduces litter and material loss
Plastic wrappers,Soft plastic,Use a soft-plastic take-back point where available,Multi-layer wrappers are difficult to recycle in standard systems,Do not burn wrappers; check local collection options,Specialized collection can prevent persistent plastic litter
Glass bottles,Glass recycling,Empty and place in a glass recycling container,Glass can be recycled repeatedly without losing quality,Handle broken glass carefully and keep it out of mixed recycling if required,Glass recycling saves raw materials and energy
Glass jars,Glass recycling,Empty rinse and place in glass recycling,Glass jars are commonly accepted in glass recovery programs,Remove food contents and lids according to local rules,Recycling glass reduces extraction of sand and other raw materials
